IME SKLADBE,Instrumenti,Stil,Opus,Datum kompozicije,Vir,Avtorske pravice,Zadnja posodobitev,Glasbeni ID,Typeset
"Das Wohltemperierte Clavier I, Praeludium XVI","Harpsichord, Piano",Classical,BWV 861,18th Century,Bach Gesselschaft Edition (1866),Public Domain,2006/Aug/17,Mutopia-2006/08/17-806,"LilyPond, version 2.8.5"
"Das Wohltemperierte Clavier I, Fuga XVII","Harpsichord, Piano",Baroque,BWV 862,Not known,"Bach-Gesellschaft edition, 1866",Public Domain,2016/Dec/23,Mutopia-2016/12/23-1375,"LilyPond, version 2.19.46"
"Das Wohltemperierte Clavier I, Praeludium XVII","Harpsichord, Piano",Baroque,BWV 862,Not known,"Bach-Gesellschaft edition, 1866",Public Domain,2007/Oct/06,Mutopia-2007/10/06-1045,"LilyPond, version 2.10.33"
"Das Wohltemperierte Clavier I, Fuga XX","Harpsichord, Piano",Classical,BWV 865,18th Century,Bach Gesselschaft Edition (1866),Public Domain,2015/Aug/21,Mutopia-2015/08/21-807,"LilyPond, version 2.18.2"
"Das Wohltemperierte Clavier I, Praeludium XX","Harpsichord, Piano",Classical,BWV 865,18th Century,Bach Gesselschaft Edition (1866),Public Domain,2015/Sep/01,Mutopia-2015/09/01-670,"LilyPond, version 2.18.2"
"Das Wohltemperierte Clavier I, Praeludium 24","Harpsichord, Piano",Baroque,BWV 869,Not known,"Manuscript copy, n.d.(ca.1733-40)",Creative Commons Attribution-ShareAlike 4.0,2015/Sep/07,Mutopia-2015/09/07-2049,"LilyPond, version 2.19.26"
"Das Wohltemperierte Clavier I, Fuga XXIV","Harpsichord, Piano",Baroque,BWV 869,Not known,"Breitkopf & Härtel, 1866",Public Domain,2015/Sep/01,Mutopia-2015/09/01-1563,"LilyPond, version 2.18.2"
"Das Wohltemperierte Clavier II, Fuga I","Harpsichord, Piano",Baroque,BWV 870,Not known,Unknown,Public Domain,2013/Jan/08,Mutopia-2013/01/08-209,"LilyPond, version 2.16.1"
"Das Wohltemperierte Clavier II, Praeludium I","Harpsichord, Piano",Baroque,BWV 870,Not known,"Bach-Gesellschaft, Leipzig",Public Domain,2018/Jun/01,Mutopia-2018/06/01-2223,"LilyPond, version 2.18.2"
"Das Wohltemperierte Clavier II, Fuga II","Harpsichord, Piano",Baroque,BWV 871,Not known,Unknown,Public Domain,2013/Jan/08,Mutopia-2013/01/08-9,"LilyPond, version 2.16.1"
"Das Wohltemperierte Clavier II, Praeludium II","Harpsichord, Piano",Baroque,BWV 871,Not known,Bach-Gesellschaft,Public Domain,2013/Jan/08,Mutopia-2013/01/08-316,"LilyPond, version 2.16.1"
"Das Wohltemperierte Clavier II, Praeludium VI","Harpsichord, Piano",Baroque,BWV 875,Not known,Bach Gesellschaft Ausgabe 1851-1899 Band 14 (1866),Public Domain,2007/May/11,Mutopia-2007/05/11-974,"LilyPond, version 2.10.23"
"Das Wohltemperierte Clavier II, Fuga IX","Harpsichord, Piano",Baroque,BWV 878,Not known,"Le clavecin bien tempéré, volume 2, Révision et annotations par Vincent d'Indy, Édition nationale de musique classique, Éditions Salabert, Paris, 1920.",Creative Commons Attribution-ShareAlike 3.0,2008/Mar/04,Mutopia-2008/03/04-1328,"LilyPond, version 2.10.33"
Preludio con Fuga,"Harpsichord, Piano",Baroque,BWV 895,Not known,"Naumann; Breitkopf und Härtel, 1890",Public Domain,2016/Nov/01,Mutopia-2016/11/01-492,"LilyPond, version 2.18.2"
